Tm,G,Att/G!,Comp/G!,Cmp%!,Yds!,Y/G!,TD!,Int,1stD,Att!,Y/A!
Georgia,12,25.2,13,51.7,1753,146.1,9,12,75,302.4,5.796957672
San Jose St.,12,24.2,13.4,55.5,1843,153.6,14,9,86,290.4,6.346418733
Michigan,12,29.7,14.3,48,1905,158.8,7,10,88,356.4,5.345117845
Texas A&M,12,27.6,16.3,58.9,1935,161.3,8,11,81,331.2,5.842391304
Wisconsin,12,30.2,14.7,48.6,2030,169.2,6,12,95,362.4,5.601545254
Missouri,12,29.5,18.3,61.9,2031,169.3,10,9,98,354,5.737288136
Boston Coll.,12,27.8,14.4,51.8,2058,171.5,9,13,88,333.6,6.169064748
Virginia Tech,12,25.8,12.3,47.9,2085,173.8,15,10,93,309.6,6.734496124
Penn St.,12,29.2,16.8,57.7,2094,174.5,12,10,108,350.4,5.976027397
Ohio St.,12,31.1,15.4,49.6,2114,176.2,12,12,88,373.2,5.664523044
Utah St.,12,25.8,14,54.4,2165,180.4,15,10,94,309.6,6.992894057
Clemson,13,28.4,13.1,46.1,2170,166.9,16,16,84,369.2,5.877573131
Minnesota,12,30.3,17.7,58.2,2189,182.4,13,10,115,363.6,6.020352035
Appalachian St.,12,28.7,17.3,60.5,2213,184.4,10,18,104,344.4,6.425667828
Illinois,12,32.7,18.7,57.1,2213,184.4,17,13,94,392.4,5.639653415
Florida St.,12,33.1,18.7,56.4,2230,185.8,12,8,108,397.2,5.614300101
Colorado St.,12,25.9,14.1,54.3,2235,186.3,12,8,98,310.8,7.191119691
Connecticut,12,30.4,17.7,58.1,2243,186.9,13,18,107,364.8,6.148574561
N.C. State,12,28.5,15.4,54.1,2262,188.5,20,13,99,342,6.614035088
Florida,13,30.2,16.2,53.4,2264,174.2,14,14,97,392.6,5.766683647
Cent. Michigan,12,29.8,16.8,56.4,2286,190.5,16,7,107,357.6,6.39261745
S. Diego St.,13,26.9,14.2,52.9,2298,176.8,14,23,95,349.7,6.571346869
Northwestern,12,35.2,19,54,2312,192.7,5,12,102,422.4,5.473484848
LSU,11,33,18.9,57.3,2321,211,18,10,111,363,6.393939394
South Alabama,12,28.1,16.9,60.2,2340,195,19,10,113,337.2,6.939501779
Notre Dame,12,28.5,15.6,54.7,2348,195.7,17,9,96,342,6.865497076
Miami (FL),12,30.1,18.3,60.7,2355,196.3,14,15,115,361.2,6.519933555
Wyoming,12,23.3,15.5,66.7,2363,196.9,23,5,103,279.6,8.451359084
Kentucky,12,28.6,16.3,57.1,2377,198.1,14,11,112,343.2,6.925990676
Alabama,13,31.5,15.5,49.1,2394,184.2,13,20,98,409.5,5.846153846
Troy,12,27.9,16.3,58.2,2400,200,19,6,102,334.8,7.168458781
