Tm,G,Att/G,Comp/G,Cmp%,Yds,Y/G,TD,Int!,1stD,Long,Sack!,YdsL,Att
Washington St.,12,57.1,39.3,68.8,4764,397,41,12,224,75,39,-286,685.2
Texas Tech,12,47,30.1,64,4676,389.7,39,14,187,90,21,-123,564
Bowling Green,13,43.1,29.5,68.4,4889,376.1,47,8,201,94,35,-215,560.3
Cincinnati,12,42.9,26.8,62.5,4477,373.1,29,19,208,88,22,-117,514.8
California,12,42.8,27.3,63.7,4425,368.8,44,14,185,80,26,-201,513.6
W. Kentucky,13,39.1,28.2,72,4750,365.4,50,7,193,78,14,-111,508.3
Oklahoma St.,12,39.3,24.8,63.1,4288,357.3,35,10,183,82,29,-165,471.6
Georgia St.,12,38.9,24.5,63,4159,346.6,28,11,160,76,29,-190,466.8
TCU,12,39.2,24.7,63,4146,345.5,39,14,176,86,16,-72,470.4
Mississippi,12,37.8,24.7,65.2,4004,333.7,35,13,168,73,17,-131,453.6
Tulsa,12,37.3,23.2,62.1,3958,329.8,25,8,160,80,36,-254,447.6
Southern Miss,13,37.8,24,63.4,4263,327.9,40,12,174,69,22,-171,491.4
Memphis,12,35.7,24.6,68.9,3891,324.3,30,4,166,82,15,-105,428.4
Cent. Michigan,12,38.8,25.9,66.9,3760,313.3,25,10,167,83,26,-188,465.6
Louisiana Tech,12,36.8,22.6,61.5,3743,311.9,28,11,160,72,19,-116,441.6
Mississippi St.,12,38.2,25.5,66.8,3733,311.1,33,4,157,63,31,-191,458.4
Middle Tenn. St.,12,38.5,25.7,66.7,3725,310.4,31,9,150,76,14,-144,462
Oklahoma,12,33,22.2,67.2,3695,307.9,38,7,164,76,36,-175,396
Boise St.,12,40.4,25.4,62.9,3655,304.6,24,11,169,85,29,-174,484.8
Baylor,12,30.9,18.3,59,3653,304.4,44,12,138,87,15,-86,370.8
BYU,12,37.3,23.1,61.8,3539,294.9,26,9,145,84,29,-182,447.6
Arizona St.,12,40.1,24.2,60.3,3464,288.7,30,9,153,93,39,-233,481.2
Clemson,13,34.5,23.8,68.8,3750,288.5,35,13,167,67,14,-77,448.5
UCLA,12,39.1,22.8,58.4,3436,286.3,23,11,150,70,14,-118,469.2
Indiana,12,34.1,20.1,58.9,3431,285.9,27,6,152,72,13,-92,409.2
W. Michigan,12,31.4,21.2,67.4,3405,283.8,30,8,148,76,29,-158,376.8
Miami (FL),12,34.8,20.9,60.2,3383,281.9,18,7,143,67,15,-115,417.6
Idaho,12,39.4,24.8,62.8,3375,281.3,17,15,146,71,29,-178,472.8
East Carolina,12,39.4,26.8,67.9,3375,281.3,21,12,158,69,29,-184,472.8
Nebraska,12,36.6,20.3,55.6,3296,274.7,27,21,150,55,13,-136,439.2
USC,13,33.1,22.4,67.7,3555,273.5,30,6,146,83,35,-233,430.3
Arizona,12,36.8,21.7,58.8,3215,267.9,27,9,138,95,30,-148,441.6
Arkansas,12,29,18.8,64.9,3171,264.3,31,7,153,71,12,-83,348
N. Carolina,13,28.7,18.4,64.1,3432,264,31,9,143,89,14,-103,373.1
Oregon,12,28.3,18,63.5,3125,260.4,33,10,126,52,35,-202,339.6
UMass,12,41.3,23.4,56.8,3090,257.5,18,13,141,62,29,-173,495.6
Notre Dame,12,28.9,18.3,63.1,3080,256.7,25,9,128,75,22,-134,346.8
Duke,12,39.1,23.1,59.1,3041,253.4,18,7,149,89,17,-87,469.2
N. Mex. St.,12,37.7,20,53.1,3026,252.2,26,14,110,78,37,-216,452.4
Texas A&M,12,36.2,20.4,56.5,3016,251.3,25,14,130,95,32,-211,434.4
Toledo,11,34.7,19.2,55.2,2751,250.1,24,11,125,88,4,-20,381.7
Buffalo,12,37.9,23.6,62.2,2994,249.5,16,16,143,78,16,-120,454.8
Houston,13,29.7,19.8,66.6,3216,247.4,22,6,135,67,26,-148,386.1
Louisville,12,31.9,17.9,56.1,2959,246.6,21,15,129,57,43,-301,382.8
Florida St.,12,30.9,20.1,65,2928,244,22,5,125,75,23,-201,370.8
Illinois,12,43.3,23.8,54.9,2921,243.4,16,8,141,53,20,-180,519.6
Troy,12,34.8,20.8,59.8,2890,240.8,21,11,133,75,18,-96,417.6
Colorado,13,35.8,22,61.4,3128,240.6,13,12,145,72,41,-288,465.4
Ohio,12,31.3,18.8,60.1,2861,238.4,18,11,124,67,26,-171,375.6
Virginia,12,34.4,21,61,2859,238.3,21,18,139,80,21,-127,412.8
Florida Intl.,12,36.7,22.8,62.3,2854,237.8,23,8,120,79,28,-190,440.4
