Tm,G,Att!,Yds!,Y/A!,A/G!,Y/G!,TD!,1stD
Alabama,13,404,962,2.4,31.1,74,6,56
Boston College,12,416,995,2.4,34.7,82.9,6,54
Akron,12,381,1077,2.8,31.8,89.8,12,70
Wisconsin,12,368,1175,3.2,30.7,97.9,11,56
Toledo,11,380,1271,3.3,34.5,115.5,10,83
Utah,12,405,1341,3.3,33.8,111.8,9,77
Nebraska,12,363,1361,3.7,30.3,113.4,17,55
Louisiana Tech,12,401,1393,3.5,33.4,116.1,11,87
Boise St.,12,410,1412,3.4,34.2,117.7,14,69
Northwestern,12,410,1414,3.4,34.2,117.8,16,85
Louisville,12,438,1425,3.3,36.5,118.8,10,83
Arkansas,12,381,1435,3.8,31.8,119.6,24,88
S. Diego St.,13,450,1445,3.2,34.6,111.2,13,78
LSU,11,361,1446,4,32.8,131.5,14,85
Michigan St.,13,414,1470,3.6,31.8,113.1,14,83
Michigan,12,410,1471,3.6,34.2,122.6,12,84
Iowa,13,435,1494,3.4,33.5,114.9,10,89
Arizona St.,12,417,1497,3.6,34.8,124.8,16,85
Houston,13,457,1508,3.3,35.2,116,16,83
Pittsburgh,12,373,1513,4.1,31.1,126.1,13,85
Ohio St.,12,456,1528,3.4,38,127.3,8,86
Florida,13,463,1576,3.4,35.6,121.2,10,95
Georgia Southern,12,409,1586,3.9,34.1,132.2,12,88
Mississippi,12,466,1589,3.4,38.8,132.4,7,94
Missouri,12,484,1593,3.3,40.3,132.8,11,99
Appalachian St.,12,461,1603,3.5,38.4,133.6,14,94
Washington,12,465,1607,3.5,38.8,133.9,13,86
Temple,13,436,1635,3.8,33.5,125.8,14,78
Cent. Michigan,12,414,1652,4,34.5,137.7,16,85
Memphis,12,485,1653,3.4,40.4,137.8,21,97
Navy,12,431,1661,3.9,35.9,138.4,16,99
Clemson,13,452,1674,3.7,34.8,128.8,14,81
South Florida,12,464,1687,3.6,38.7,140.6,16,93
Florida St.,12,440,1702,3.9,36.7,141.8,7,97
Vanderbilt,12,426,1719,4,35.5,143.3,12,80
Duke,12,506,1721,3.4,42.2,143.4,15,104
Middle Tenn. St.,12,443,1724,3.9,36.9,143.7,14,103
Kent St.,12,494,1727,3.5,41.2,143.9,15,93
N.C. State,12,409,1728,4.2,34.1,144,15,83
BYU,12,464,1738,3.7,38.7,144.8,19,83
Arkansas St.,12,418,1740,4.2,34.8,145,19,83
Oklahoma,12,494,1790,3.6,41.2,149.2,12,101
Penn St.,12,469,1797,3.8,39.1,149.8,18,99
Georgia,12,459,1823,4,38.3,151.9,11,86
Southern Miss,13,462,1830,4,35.5,140.8,12,90
Tennessee,12,433,1839,4.2,36.1,153.3,12,87
Utah St.,12,510,1875,3.7,42.5,156.3,26,98
Baylor,12,516,1876,3.6,43,156.3,15,109
Virginia,12,418,1880,4.5,34.8,156.7,15,99
Ohio,12,389,1884,4.8,32.4,157,19,85
Air Force,13,449,1907,4.2,34.5,146.7,19,81
Stanford,13,415,1911,4.6,31.9,147,16,100
Kansas St.,12,449,1913,4.3,37.4,159.4,20,102
USC,13,481,1913,4,37,147.2,16,113
Wake Forest,12,462,1935,4.2,38.5,161.3,16,88
Maryland,12,521,1953,3.7,43.4,162.8,23,102
UTEP,12,393,1959,5,32.8,163.3,19,84
West Virginia,12,490,1961,4,40.8,163.4,9,94
Georgia Tech,12,422,1981,4.7,35.2,165.1,24,94
Army,12,436,1982,4.5,36.3,165.2,26,93
Connecticut,12,445,1984,4.5,37.1,165.3,13,97
Illinois,12,468,1997,4.3,39,166.4,16,102
Notre Dame,12,443,2001,4.5,36.9,166.8,17,95
Florida Atlantic,12,504,2021,4,42,168.4,17,119
UTSA,12,483,2027,4.2,40.3,168.9,21,108
Miami (OH),12,488,2027,4.2,40.7,168.9,27,99
W. Kentucky,13,480,2028,4.2,36.9,156,14,110
Marshall,12,513,2059,4,42.8,171.6,11,121
Minnesota,12,495,2059,4.2,41.3,171.6,21,102
Mississippi St.,12,480,2060,4.3,40,171.7,13,114
East Carolina,12,518,2094,4,43.2,174.5,21,117
Bowling Green,13,525,2110,4,40.4,162.3,21,120
Tulane,12,518,2146,4.1,43.2,178.8,29,114
Oregon,12,444,2150,4.8,37,179.2,21,115
Georgia St.,12,488,2157,4.4,40.7,179.8,17,122
Virginia Tech,12,475,2160,4.5,39.6,180,18,90
Northern Illinois,13,556,2169,3.9,42.8,166.8,13,125
Indiana,12,441,2171,4.9,36.8,180.9,27,98
Syracuse,12,459,2182,4.8,38.3,181.8,24,117
TCU,12,514,2188,4.3,42.8,182.3,23,116
La Lafayet.,12,487,2205,4.5,40.6,183.8,17,115
Florida Intl.,12,482,2221,4.6,40.2,185.1,25,142
Oklahoma St.,12,534,2223,4.2,44.5,185.3,24,118
Buffalo,12,491,2233,4.5,40.9,186.1,23,108
Rutgers,12,441,2233,5.1,36.8,186.1,33,93
Iowa St.,12,479,2239,4.7,39.9,186.6,20,120
W. Michigan,12,422,2239,5.3,35.2,186.6,23,102
UCLA,12,525,2254,4.3,43.8,187.8,13,133
Arizona,12,511,2263,4.4,42.6,188.6,26,115
Nevada,12,470,2266,4.8,39.2,188.8,18,116
Auburn,12,492,2276,4.6,41,189.7,24,126
Rice,12,444,2283,5.1,37,190.3,21,101
Cincinnati,12,455,2284,5,37.9,190.3,19,100
Charlotte,12,500,2287,4.6,41.7,190.6,23,115
Troy,12,561,2295,4.1,46.8,191.3,20,132
UMass,12,530,2315,4.4,44.2,192.9,22,118
New Mexico,12,520,2331,4.5,43.3,194.3,18,119
Kentucky,12,510,2353,4.6,42.5,196.1,24,119
UCF,12,495,2390,4.8,41.3,199.2,24,124
Washington St.,12,480,2398,5,40,199.8,23,128
Old Dominion,12,522,2440,4.7,43.5,203.3,30,129
California,12,512,2442,4.8,42.7,203.5,21,126
Texas A&M,12,509,2471,4.9,42.4,205.9,17,122
Colorado St.,12,513,2497,4.9,42.8,208.1,25,116
Miami (FL),12,472,2526,5.4,39.3,210.5,25,127
Purdue,12,504,2579,5.1,42,214.9,28,122
Colorado,13,513,2583,5,39.5,198.7,19,112
San Jose St.,12,493,2587,5.2,41.1,215.6,29,133
UNLV,12,463,2600,5.6,38.6,216.7,32,120
South Carolina,12,509,2609,5.1,42.4,217.4,26,133
Texas,12,583,2630,4.5,48.6,219.2,21,147
South Alabama,12,493,2652,5.4,41.1,221,35,118
Wyoming,12,512,2702,5.3,42.7,225.2,28,137
LA Monroe,13,638,2704,4.2,49.1,208,27,147
Oregon St.,12,526,2706,5.1,43.8,225.5,28,146
Ball St.,12,512,2706,5.3,42.7,225.5,29,124
Fresno St.,12,563,2816,5,46.9,234.7,32,139
N. Carolina,13,591,2818,4.8,45.5,216.8,21,154
Tulsa,12,549,2862,5.2,45.8,238.5,32,135
North Texas,12,531,2879,5.4,44.3,239.9,38,155
N. Mex. St.,12,521,2907,5.6,43.4,242.3,35,135
Texas St.,12,542,3096,5.7,45.2,258,31,139
Hawaii,13,687,3122,4.5,52.8,240.2,33,171
SMU,12,542,3134,5.8,45.2,261.2,40,153
Kansas,12,565,3206,5.7,47.1,267.2,39,161
Texas Tech,12,551,3262,5.9,45.9,271.8,42,155
Idaho,12,517,3279,6.3,43.1,273.3,40,150
East. Michigan,12,588,3798,6.5,49,316.5,44,186
