Tm,G,Pts/G,Yds/G,PassYds,RushYds,Int,IntTD
Wisconsin,12,13.1,267.1,2030,1175,12,0
Ohio St.,12,14,303.5,2114,1528,12,3
Alabama,13,14.4,258.2,2394,962,20,4
Boston Coll.,12,15.3,254.4,2058,995,13,1
Florida St.,12,15.8,327.7,2230,1702,8,0
Missouri,12,16.2,302,2031,1593,9,0
Northwestern,12,16.4,310.5,2312,1414,12,2
Florida,13,16.5,295.4,2264,1576,14,2
Georgia,12,16.9,298,1753,1823,12,1
Michigan,12,17.2,281.3,1905,1471,10,1
S. Diego St.,13,17.2,287.9,2298,1445,23,4
Washington,12,17.8,349.9,2592,1607,15,2
Appalachian St.,12,18.3,318,2213,1603,18,3
Marshall,12,18.4,373.1,2418,2059,15,2
Iowa,13,18.5,334.2,2851,1494,19,4
Temple,13,19.2,329.1,2643,1635,17,2
Connecticut,12,19.8,352.3,2243,1984,18,1
Clemson,13,20.2,295.7,2170,1674,16,2
Michigan St.,13,20.5,342.9,2988,1470,15,2
Houston,13,20.5,381.3,3449,1508,21,3
Oklahoma,12,20.8,350.7,2418,1790,20,2
Vanderbilt,12,21,350.6,2488,1719,6,1
Toledo,11,21.1,378.8,2896,1271,12,1
South Florida,12,21.1,361.2,2647,1687,17,1
Tennessee,12,21.2,370.4,2606,1839,12,1
Navy,12,21.3,367.4,2748,1661,12,0
Boise St.,12,21.3,342.1,2693,1412,22,2
Akron,12,21.5,328.5,2865,1077,15,0
Texas A&M,12,21.6,367.2,1935,2471,11,2
Penn St.,12,21.7,324.3,2094,1797,10,0
BYU,12,21.8,358.1,2559,1738,15,2
Utah,12,21.8,365.2,3041,1341,22,3
Cent. Michigan,12,22.1,328.2,2286,1652,7,0
Notre Dame,12,22.4,362.4,2348,2001,9,1
N. Carolina,13,22.6,411.3,2529,2818,17,0
Mississippi,12,22.8,387.5,3061,1589,15,4
Mississippi St.,12,22.8,388.4,2601,2060,13,1
Stanford,13,23.1,374.5,2958,1911,8,2
West Virginia,12,23.2,386.2,2673,1961,23,1
Air Force,13,23.2,337.1,2475,1907,11,1
Georgia Southern,12,23.3,336.1,2447,1586,18,1
Illinois,12,23.3,350.8,2213,1997,13,1
N.C. State,12,23.8,332.5,2262,1728,13,1
LSU,11,24,342.5,2321,1446,10,1
Duke,12,24.1,372,2743,1721,11,0
Southern Miss,13,24.2,364.1,2903,1830,13,3
Virginia Tech,12,24.2,353.8,2085,2160,10,1
Louisville,12,24.3,323.4,2456,1425,17,1
Pittsburgh,12,24.6,344.3,2618,1513,10,1
Wake Forest,12,24.6,363.8,2430,1935,6,0
Ohio,12,24.8,373.6,2599,1884,12,3
UCLA,12,25.1,393.5,2468,2254,12,2
Middle Tenn. St.,12,25.1,390.7,2964,1724,17,3
W. Kentucky,13,25.2,390.5,3048,2028,17,1
Northern Illinois,13,25.5,400.2,3034,2169,22,2
Georgia Tech,12,25.8,368,2435,1981,9,1
USC,13,25.9,401.3,3304,1913,14,2
East Carolina,12,26,400.9,2717,2094,8,2
Minnesota,12,26.1,354,2189,2059,10,2
Kent St.,12,26.1,350.1,2474,1727,12,1
TCU,12,26.1,396.7,2572,2188,7,2
Bowling Green,13,26.7,409.5,3214,2110,20,1
