Tm,G,Pts/G,Yds/G,PassYds,RushYds,1stD/G,3rdM,3rdD%,4thM,4thD%,Pen,PenYds,TOP
Baylor,12,48,604.6,3653,3602,28.8,81,45.8,24,70.6,107,926,15:02
Texas Tech,12,46.6,594.5,4676,2458,28.8,95,51.9,10,47.6,86,773,8:48
Oklahoma,12,45.8,542.9,3695,2820,27.3,74,44,9,56.3,75,735,7:38
W. Kentucky,13,44.2,519.8,4750,2008,24.8,84,49.7,10,55.6,74,744,12:53
Bowling Green,13,43.4,561,4889,2404,28.8,100,51,15,55.6,116,1064,6:56
Oregon,12,43.2,548.2,3125,3453,26.1,66,40.5,14,58.3,85,769,12:55
Memphis,12,42.7,510.4,3891,2234,25.8,93,49.5,10,62.5,93,936,12:57
TCU,12,41.7,564.3,4146,2626,27.6,82,45.6,4,36.4,86,839,11:45
Oklahoma St.,12,41.2,489.5,4288,1586,23.8,78,44.3,8,88.9,68,580,14:03
Arkansas St.,12,41,448.1,2547,2830,22.3,67,37.9,10,50,98,935,12:57
N. Carolina,13,40.9,486.9,3432,2898,23.6,71,47,7,58.3,75,616,7:41
Southern Miss,13,40.6,519.8,4263,2495,23.2,90,46.6,14,48.3,94,891,8:28
Houston,13,40.6,486.9,3216,3114,23.5,104,49.8,13,52,81,753,14:10
Mississippi,12,40.3,514.8,4004,2173,26.1,64,41,7,46.7,74,627,10:50
Clemson,13,38.5,510.6,3750,2888,25.5,94,47.7,7,58.3,75,627,15:06
Boise St.,12,37.8,488.8,3655,2211,25.8,77,39.7,15,62.5,74,626,7:40
Appalachian St.,12,37.2,470.7,2422,3226,22.3,67,42.9,15,65.2,75,659,13:01
Stanford,13,37.2,436,2742,2926,22.5,88,51.2,12,85.7,68,578,14:54
Louisiana Tech,12,36.8,465.8,3743,1846,23.6,60,39.2,8,72.7,59,500,10:22
Arizona,12,36.8,494.3,3215,2716,25.1,76,42,9,36,70,602,11:07
California,12,36.5,524.4,4425,1868,26.2,77,46.1,13,52,62,539,5:40
Navy,12,36.2,411.4,1107,3830,20.1,77,48.1,22,91.7,38,324,11:46
Indiana,12,36.2,490.8,3431,2458,25.3,67,36.8,12,46.2,84,724,9:17
Cincinnati,12,36.1,559.3,4477,2234,29.6,94,51.6,7,70,94,838,12:14
Tulsa,12,35.9,502.8,3958,2075,25.4,95,45,12,52.2,85,686,11:51
W. Michigan,12,35.3,480.9,3405,2366,24.2,76,47.5,12,60,72,666,15:40
Toledo,11,35.3,463.3,2751,2345,22.7,81,46.6,10,47.6,87,755,11:05
Arkansas,12,35.2,456.8,3171,2311,22.9,69,46,12,57.1,53,457,10:12
Ohio St.,12,35,428.9,2244,2903,21.1,60,39,10,55.6,72,611,13:06
USC,13,34.9,449.6,3555,2290,22.5,69,39.4,15,65.2,97,903,10:44
Notre Dame,12,34.8,471.5,3080,2578,22.3,63,42.9,4,57.1,64,566,12:05
Georgia Southern,12,34.7,417.4,742,4267,18.7,66,40.2,18,62.1,62,584,6:52
Middle Tenn. St.,12,34.3,458.7,3725,1779,23.7,78,42.6,14,63.6,57,510,9:00
Tennessee,12,34.3,422.5,2388,2682,22.4,88,45.6,11,78.6,58,440,9:19
BYU,12,34.2,428,3539,1597,21.1,65,39.4,9,47.4,79,696,10:35
Alabama,13,34.1,422.5,2786,2707,22.4,67,36.4,11,47.8,81,745,12:46
Arizona St.,12,34,473.9,3464,2223,23.5,89,42,10,58.8,54,473,15:39
N.C. State,12,33.7,411.9,2526,2417,21.6,75,41.7,15,60,68,637,13:01
Air Force,13,33.6,452.7,1698,4187,21.4,79,42.9,13,59.1,49,489,14:01
South Florida,12,33.5,428.7,2229,2915,19.7,65,39.4,8,53.3,70,647,9:46
West Virginia,12,33.3,463.3,2737,2823,24.7,75,39.5,9,47.4,82,856,8:02
Mississippi St.,12,33,451.4,3733,1684,23,66,41.8,9,45,48,451,7:48
Northern Illinois,13,33,426.6,2880,2666,21.2,83,39.2,16,50,76,670,12:43
Marshall,12,32.6,401.3,2791,2025,21.4,68,37.6,9,60,87,815,8:37
UCLA,12,32.5,472.4,3436,2233,23.6,83,45.4,7,58.3,101,858,13:59
Nebraska,12,32.5,442.5,3296,2014,22.1,74,43.5,5,62.5,88,791,11:20
Washington St.,12,32.4,476.9,4764,959,25.7,72,41.1,25,69.4,65,462,8:57
Florida St.,12,32.3,424.9,2928,2171,20.9,55,37.9,4,50,83,636,10:31
Michigan St.,13,32.1,396.8,3069,2089,21.8,95,50.5,7,43.8,69,567,11:08
Iowa,13,32.1,393.8,2623,2496,20.5,75,42.9,6,60,66,633,14:27
S. Diego St.,13,31.4,378.3,1859,3059,18.3,76,40.2,7,77.8,85,782,11:47
