Rk,Tm,G,Att!,Yds!,TD!,Y/A!,Y/G!,EXP,A/G!
1,Seattle Seahawks,16,362,1304,10,3.6,81.5,45.89,22.625
2,New York Jets,16,373,1335,4,3.6,83.4,71.94,23.3125
3,Denver Broncos,16,408,1337,10,3.3,83.6,70.53,25.5
4,Carolina Panthers,16,364,1415,11,3.9,88.4,36.13,22.75
5,Pittsburgh Steelers,16,382,1459,6,3.8,91.2,76.91,23.875
6,Arizona Cardinals,16,373,1460,9,3.9,91.3,55.62,23.3125
7,Cincinnati Bengals,16,344,1477,8,4.3,92.3,27.56,21.5
8,Kansas City Chiefs,16,383,1571,7,4.1,98.2,34.08,23.9375
9,New England Patriots,16,397,1578,8,4,98.6,39.55,24.8125
10,Houston Texans,16,388,1597,10,4.1,99.8,35.04,24.25
11,Tampa Bay Buccaneers,16,466,1606,12,3.4,100.4,40.6,29.125
12,Baltimore Ravens,16,418,1661,10,4,103.8,28.52,26.125
13,Oakland Raiders,16,406,1678,12,4.1,104.9,12.41,25.375
14,Atlanta Falcons,16,416,1680,20,4,105,26.97,26
15,Jacksonville Jaguars,16,464,1709,15,3.7,106.8,39.17,29
16,Buffalo Bills,16,394,1730,10,4.4,108.1,-3.65,24.625
17,Minnesota Vikings,16,411,1748,7,4.3,109.3,33.25,25.6875
18,Tennessee Titans,16,462,1797,11,3.9,112.3,53.28,28.875
19,Detroit Lions,16,428,1808,18,4.2,113,16.57,26.75
20,St. Louis Rams,16,453,1820,7,4,113.8,63.43,28.3125
21,Green Bay Packers,16,420,1905,13,4.5,119.1,4.04,26.25
22,Dallas Cowboys,16,460,1931,16,4.2,120.7,8.76,28.75
23,Chicago Bears,16,433,1934,9,4.5,120.9,8.7,27.0625
24,New York Giants,16,444,1942,15,4.4,121.4,0.91,27.75
25,Indianapolis Colts,16,452,1952,14,4.3,122,37.08,28.25
26,Washington Redskins,16,406,1962,10,4.8,122.6,20.41,25.375
27,San Diego Chargers,16,417,2005,17,4.8,125.3,-6.32,26.0625
28,Miami Dolphins,16,503,2019,13,4,126.2,32.04,31.4375
29,San Francisco 49ers,16,504,2020,20,4,126.3,29.61,31.5
30,Cleveland Browns,16,458,2055,11,4.5,128.4,6.14,28.625
31,New Orleans Saints,16,422,2071,12,4.9,129.4,20.99,26.375
32,Philadelphia Eagles,16,478,2153,10,4.5,134.6,4.45,29.875
